Sku	Descrição	Sessão	Sub Sessão	Marca	Fabricante	NCM	Ean13	Peso	Peso com embalagem	Comprimento	Largura	Altura	Foto	Preço	Preço Promocional	Possuí estoque
74583	MOLA SUSP. TRAS. FOCUS 1.6/2.0 16V FLEX 14/... (C/ GNV) (EMBAL 2 UNID) - ALLEN	Auto Peças	Molas	ALLEN		73202010	7890040345239	2250	2250	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74583.jpg	142,5	142,5	S
74584	MOLA SUSP. DIANT. TORO 1.8 16V E-TORQ 16/... (EMBAL 2 UNID) - ALLEN	Auto Peças	Molas	Molas			7890040345246	2870		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74584.jpg	161,51	161,51	S
74585	MOLA SUSP. DIANT. DOBLO 1.4/1.8 MPI ADVENTURE / LOCKER / ATTRACTIVE / CARGO / ESSENCE / HLX 07/... (EMBAL 2 UNID) - ALLEN	Auto Peças	Molas	ALLEN		73202010	7890040345253	2890	2890	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74585.jpg	163,4	163,4	S
74586	MOLA SUSP. DIANT. ARGO 1.0 6V / 1.3 8V FIREFLY 18/... (EMBAL 2 UNID) - ALLEN	Auto Peças	Molas	Molas		73202010	7890040345260	1530		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74586.jpg	85,51	85,51	S
74587	MOLA SUSP. DIANT. LD CIVIC 1.5 16V TURBO / 2.0 16V FLEX (CAMBIO CVT) 17/... - ALLEN	Auto Peças	Molas	Molas			7890040345277	2250		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74587.jpg	94,76	94,76	S
74588	MOLA SUSP. DIANT. LE CIVIC 1.5 16V TURBO / 2.0 16V FLEX (CAMBIO CVT) 17/... - ALLEN	Auto Peças	Molas	ALLEN		73202010	7890040345284	2240	2240	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74588.jpg	94,76	94,76	S
74589	MOLA SUSP. DIANT. HRV 1.8 16V FLEX 15/... (EMBAL 2 UNID) - ALLEN	Auto Peças	Molas	ALLEN		73202010	7890040345291	2690	2690	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74589.jpg	205,46	205,46	S
74590	MOLA SUSP. TRAS. AIRCROSS 1.5 / 1.6 11/... (C/ GNV) (EMBAL 2 UNID) - ALLEN	Auto Peças	Molas	Molas		73202010	7890040345307	2190		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74590.jpg	123,51	123,51	S
74591	MOLA SUSP. DIANT. NEW TUCSON 1.6 16V T-GDI GAS. 17/ ... (EMBAL 2 UNID) - ALLEN	Auto Peças	Molas	Molas			7890040345208	2850		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74591.jpg	122,44	122,44	S
74592	TAMPA VALVULA HILUX 2.7 FLEX 12/14 2TR-FE - DRIVETEC	Auto Peças	Tampa De Válvulas	DRIVETEC		84099190	7908304876983	2410	2410	56.50	30	11	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74592.jpg	334,06	334,06	N
74593	TAMPA VALVULA FRONTIER 2.5 16V 12/16 190CV (EMBAL. 10 PCS) - DRIVETEC	Auto Peças	Tampa De Válvulas	DRIVETEC		84099999	7908304876990	1420	1420	55.00	25	13	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74593.jpg	371,92	371,92	N
74594	TAMPA COMANDO VALVULA DISTRIBUICAO DUCATO/JUMPER/BOXER 2.3 16V 10/17 / DAILY 2.3 16V 18/... - DRIVETEC	Auto Peças	Tampa De Válvulas	DRIVETEC		84099999	7908304877003	17	17	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74594.jpg	59,28	59,28	S
74595	VALVULA RESPIRO (PCV) PAJERO 1.8 IO 99/01 / PAJERO TR4 2.0 02/18 / L200 TRITON 3.5 V6 24V 08/18 - DRIVETEC	Auto Peças	Diversos	DRIVETEC		84812090	7908304877010	10	10	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74595.jpg	23,51	23,51	S
74596	VALVULA RESPIRO (PCV) COROLLA 1.6/1.8 92/02 / CIVIC 1.6 96/00 / 1.7 01/05 / FIT 1.4 04/08 / TRACKER 2.0 GAS. 99/09 / GRAND VITARA 2.0/2.5 99/04 - DRIVETEC	Auto Peças	Diversos	DRIVETEC		84812090	7908304877027	10	10	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74596.jpg	20,7	20,7	S
74600	ATUADOR HIDRAULICO 208 GT 1.6 16V FLEX THP 16/... / 2008 1.6 16V FLEX THP 15/... / DS3 1.6 THP 12/... - ROC	Auto Peças	Atuadores Hidráulicos	Atuadores Hidráulicos			7908304877485	480		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74600.jpg	280,06	280,06	S
74603	ROLAMENTO AMORTECEDOR JUMPY/EXPERT 18/... (EMBAL. 50 PCS) - DRIVETEC	Auto Peças	Rolamentos	DRIVETEC		87089990	7908304877508	330	330	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74603.jpg	108,16	108,16	S
74604	COXIM AMORTECEDOR DIANT. SPRINTER 311/313/415/416/515/516 12/17 (EMBAL. 30 PCS) - DRIVETEC	Auto Peças	Coxins	DRIVETEC		87089990	7908304877034	660	660	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74604.jpg	92,17	92,17	S
74605	COXIM AMORTECEDOR DIANT. LD DUCATO/JUMPER/BOXER 18/... - DRIVETEC	Auto Peças	Coxins	DRIVETEC		87089990	7908304877515	1900	1900	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74605.jpg	217,1	217,1	N
74606	COXIM AMORTECEDOR DIANT. LE DUCATO/JUMPER/BOXER 18/... - DRIVETEC	Auto Peças	Coxins	DRIVETEC		87089990	7908304877522	1890	1890	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74606.jpg	217,1	217,1	N
74610	MODULO COMBUSTIVEL COMPLETO (SENSOR / BOMBA / PRE FILTRO) DUCATO/BOXER/JUMPER 2.3 16V TD 10/17 /2.8 TD 06/09 (EMB. 12 PCS) - DRIVETEC	Auto Peças	Diversos	Diversos			7908304877539	1420		18.50	18	42,5	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74610.jpg	422,54	422,54	N
74611	CARTER OLEO DUCATO/BOXER/JUMPER 2.8 TD 99/09 (EMB. 4 PCS) - DRIVETEC	Auto Peças	Diversos	DRIVETEC		84099912	7908304877546	3300	3300	44.50	23,5	15,5	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74611.jpg	181,67	181,67	S
74612	FECHADURA PORTA CORREDICA DUCATO/BOXER/JUMPER 2.8 TD 03/09 / 2.3 16V 10/17 (EMB. 12 PCS) - DRIVETEC	Auto Peças	Diversos	DRIVETEC		83012000	7908304878994	310	310	12.00	8	8	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74612.jpg	71,96	71,96	N
74613	FECHADURA PORTA TRAS. DUCATO 2.5 TD 97/99 / DUCATO/BOXER/JUMPER 2.8 TD 98/09 / 2.3 16V 10/17 - DRIVETEC	Auto Peças	Diversos	Diversos		83012000	7908304879007	430		18.00	8	11	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74613.jpg	71,88	71,88	N
74614	CAIXA FILTRO AR DUCATO 2.3 16V 18/... (EMBAL. 2 PCS) - DRIVETEC	Auto Peças	Diversos	DRIVETEC		84213990	7908304877980	1260	1260	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74614.jpg	358,4	358,4	N
74615	FILTRO AR DUCATO/BOXER/JUMPER 2.3 16V 10/... - DRIVETEC	Auto Peças	Diversos	DRIVETEC		84213100	7908304882656	630	630	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74615.jpg	41,6	41,6	S
74616	SUPORTE FILTRO COMBUSTIVEL (COMPLETO) DUCATO/BOXER/JUMPER 2.3 16V 10/17 (EMBAL. 20 PCS) - DRIVETEC	Auto Peças	Diversos	DRIVETEC		87089990	7908304877126	730	730	12.00	12	23,5	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74616.jpg	305,64	305,64	N
74617	RESERVATORIO AGUA RADIADOR DUCATO 2.3 16V 18/... / BOXER/JUMPER 2.0 18/... (EMBAL. 20 PCS) - DRIVETEC	Auto Peças	Diversos	DRIVETEC		87089100	7908304877133	1320	1320	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74617.jpg	196,43	196,43	S
74618	TUBO COMBUSTIVEL BOMBA ALTA PRESSÃO DUCATO/BOXER/JUMPER 2.3 16V 10/17 (EMBAL. 100 PCS) - DRIVETEC	Auto Peças	Diversos	Diversos			7908304877843	20		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74618.jpg	108,16	108,16	N
74619	EIXO CARRETEL DUCATO/BOXER/JUMPER 2.8 05/09 / 2.3 16V 10/17 (CAMBIO MLGU) RE P/ FRENTE (27x40x31x21x12x11x21) (EMB. 5 PCS) - DRIVETEC	Auto Peças	Diversos	DRIVETEC		87084090	7908304879014	3310	3310	42.00	10	10	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74619.jpg	646,54	646,54	S
74620	TUBO AGUA CABECOTE DUCATO/BOXER/JUMPER 2.3 16V 10/17 - DRIVETEC	Auto Peças	Diversos	DRIVETEC		87089990	7908304880416	55	60	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74620.jpg	41,38	41,38	S
74621	GUIA INFERIOR PORTA CORREDICA DUCATO/BOXER/JUMPER 2.8 03/09 / 2.3 16V 10/... (EMB. 50 PCS) - DRIVETEC	Auto Peças	Diversos	DRIVETEC		87082999	7908304877898	470	470	8.00	8	23	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74621.jpg	64,42	64,42	S
74622	INTERRUPTOR VIDRO ELETRICO DIANT. LE DUCATO/BOXER/JUMPER 18/... - DRIVETEC	Auto Peças	Sensores	Sensores		85365090	7908304877553	130		18.80	9	5,5	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74622.jpg	216,31	216,31	N
74623	ABRACADEIRA TUBO ESCAPAMENTO DIANT. (MEIA LUA) DAILY 3510 / 3513 / 3813 / 4012 / 4013 / 4910 / 4912 / 5013 / 5912 / 6012 / 6013 / 7012 / 7013 2.8 8V 97/07 - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco			6972885544723	1110		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74623.jpg	9,05	9,05	N
74624	ALAVANCA CAMBIO (COMPLETA) DAILY 35S14 / 40S14 / 45S17 / 50C17 / 55C17 / 70C17 3.0 16V EURO 5 12/18 / DAILY MY 35-150 / 45-170 / 55-170 / 65-170 / 70-170 2.3 16V EURO 5 19/... (CAMBIO ZF) - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco				100		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74624.jpg	281,16	281,16	N
74625	ALAVANCA CAMBIO (COMPLETA) DAILY 50C15 / 50C17 / 55C16 / 55S17W / 65C14G 3.0 16V EURO 3 08/12 (CAMBIO ZF) - ORIGINAL IVECO	Auto Peças	Original Iveco	Original Iveco				1060		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74625.jpg	351,56	351,56	N
74626	BARRA ESTABILIZADORA TRAS. DAILY 3510 / 4012 / 4910 / 4912 / 3513 / 3813 / 4013 / 5013 2.8 8V 97/07 (18MM) - ORIGINAL IVECO	Auto Peças	Original Iveco			87089990	6972885545034	3630	3630	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74626.jpg	121,51	121,51	S
74627	BATENTE FEIXE MOLA TRAS. DAILY 3510 / 3513 / 4012 / 4013 / 4910 / 4912 / 5013 2.8 8V 97/07 / 40S16 / 45S16 / 45S17 / 55C16 / 55C17 3.0 16V 08/18 - ORIGINAL IVECO	Auto Peças	Original Iveco			87089990	6972885545089	230	230	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/74627.jpg	19,37	19,37	S
